date,total_articles,war_articles,war_pct,conflict,kw_ukraine,kw_russia,kw_war,kw_conflict,kw_bomb,kw_attack,kw_kyiv,kw_moscow,kw_invasion,kw_nato,war_pct_7d,war_articles_7d,kw_gaza,kw_israel,kw_hamas,kw_palestin,kw_rafah,kw_west bank,kw_iran,kw_strike,kw_tehran,kw_missile,kw_nuclear
2022-01-01,608105,48656,8.0012,Russia_Ukraine,6504.0,8108.0,25270,816,352.0,4357,0.0,448.0,1720.0,1081.0,8.3244,71162.0,,,,,,,,,,,
2022-01-02,656167,46750,7.1247,Russia_Ukraine,6483.0,10712.0,20600,401,1391.0,6191,0.0,139.0,339.0,494.0,8.25,77147.8,,,,,,,,,,,
2022-01-03,950852,101985,10.7256,Russia_Ukraine,28460.0,35434.0,20992,4148,1276.0,7410,885.0,661.0,800.0,1919.0,8.6148,87746.2,,,,,,,,,,,
2022-01-04,1171886,87257,7.4459,Russia_Ukraine,10055.0,18952.0,33668,1095,1678.0,12439,725.0,461.0,310.0,7874.0,8.7958,93803.0,,,,,,,,,,,
2022-01-05,1271153,101091,7.9527,Russia_Ukraine,10715.0,16328.0,34715,1595,4726.0,19822,238.0,4374.0,3517.0,5061.0,9.6223,102937.4,,,,,,,,,,,
2022-01-06,1348204,140738,10.4389,Russia_Ukraine,11006.0,44478.0,43928,1091,3350.0,27866,191.0,2235.0,2456.0,4137.0,10.8168,112001.3,,,,,,,,,,,
2022-01-07,1317020,130144,9.8817,Russia_Ukraine,10887.0,31163.0,46021,4722,6358.0,14614,368.0,572.0,567.0,14872.0,11.6364,124261.0,,,,,,,,,,,
2022-01-08,816732,112597,13.7863,Russia_Ukraine,9106.0,41632.0,38078,752,1738.0,11020,2102.0,482.0,189.0,7498.0,11.8404,128146.7,,,,,,,,,,,
2022-01-09,711564,110197,15.4866,Russia_Ukraine,17173.0,51266.0,21197,567,753.0,14433,0.0,493.0,709.0,3606.0,12.5045,138706.3,,,,,,,,,,,
2022-01-10,1140767,187803,16.4629,Russia_Ukraine,55160.0,78425.0,31730,1377,850.0,9185,259.0,1345.0,1059.0,8413.0,12.635,141442.7,,,,,,,,,,,
2022-01-11,1289883,114457,8.8734,Russia_Ukraine,17247.0,39442.0,32950,2125,1753.0,7879,230.0,1233.0,653.0,10945.0,13.3766,151718.4,,,,,,,,,,,
2022-01-12,1388742,175008,12.6019,Russia_Ukraine,26917.0,53058.0,46368,2359,2433.0,11526,1090.0,2351.0,1189.0,27717.0,13.3245,152387.9,,,,,,,,,,,
2022-01-13,1408465,159893,11.3523,Russia_Ukraine,23840.0,43268.0,53845,2131,3512.0,11125,285.0,3292.0,1596.0,16999.0,13.8872,158322.1,,,,,,,,,,,
2022-01-14,1340652,202074,15.0728,Russia_Ukraine,43467.0,53602.0,53451,3414,1595.0,27580,270.0,3144.0,4201.0,11350.0,13.8613,157016.3,,,,,,,,,,,
2022-01-15,873833,117283,13.4217,Russia_Ukraine,25081.0,34015.0,30682,2062,718.0,11672,341.0,966.0,1788.0,9958.0,15.2579,176164.7,,,,,,,,,,,
2022-01-16,781127,151737,19.4254,Russia_Ukraine,40163.0,28310.0,39929,498,1409.0,27323,343.0,92.0,8702.0,4968.0,17.1436,204808.4,,,,,,,,,,,
2022-01-17,1097325,178662,16.2816,Russia_Ukraine,47100.0,41976.0,31154,885,1238.0,46839,804.0,2111.0,1769.0,4786.0,18.4243,227914.6,,,,,,,,,,,
2022-01-18,1332441,248496,18.6497,Russia_Ukraine,72576.0,61533.0,51588,1473,2611.0,32589,8485.0,2552.0,6952.0,8137.0,19.8073,247966.1,,,,,,,,,,,
2022-01-19,1455387,375514,25.8017,Russia_Ukraine,113418.0,134391.0,61049,2516,2928.0,31051,4497.0,3644.0,6832.0,15188.0,20.5773,257569.6,,,,,,,,,,,
2022-01-20,1583050,321636,20.3175,Russia_Ukraine,106038.0,92227.0,49624,3898,3845.0,21751,1232.0,22758.0,9200.0,11063.0,20.7482,260124.6,,,,,,,,,,,
2022-01-21,1383394,342435,24.7533,Russia_Ukraine,109137.0,125345.0,65009,3331,2438.0,18580,273.0,2374.0,5630.0,10318.0,22.6528,292631.9,,,,,,,,,,,
2022-01-22,980812,184507,18.8117,Russia_Ukraine,62336.0,61554.0,27517,2140,1557.0,9835,2008.0,3554.0,3254.0,10752.0,23.7385,310853.1,,,,,,,,,,,
2022-01-23,822531,169622,20.622,Russia_Ukraine,67168.0,57428.0,20527,2166,1258.0,9735,1405.0,6226.0,1180.0,2529.0,24.0102,315821.6,,,,,,,,,,,
2022-01-24,1371709,406213,29.6136,Russia_Ukraine,123285.0,115042.0,71857,2263,11629.0,21251,14326.0,1273.0,21132.0,24155.0,23.948,311144.4,,,,,,,,,,,
2022-01-25,1432568,376045,26.2497,Russia_Ukraine,101298.0,125035.0,61327,5812,5725.0,19528,8755.0,969.0,24964.0,22632.0,23.7117,308995.4,,,,,,,,,,,
2022-01-26,1481017,410293,27.7035,Russia_Ukraine,128349.0,143702.0,50627,5470,7487.0,24173,2352.0,581.0,31476.0,16076.0,24.1823,309502.7,,,,,,,,,,,
2022-01-27,1453021,288896,19.8824,Russia_Ukraine,86577.0,95482.0,47536,7590,1501.0,12947,460.0,1497.0,11948.0,23358.0,24.678,313868.4,,,,,,,,,,,
2022-01-28,1417358,327392,23.0988,Russia_Ukraine,100957.0,102865.0,70456,9905,2264.0,19495,1004.0,2897.0,6730.0,10819.0,23.5799,292584.6,,,,,,,,,,,
2022-01-29,850700,188058,22.1063,Russia_Ukraine,58629.0,56193.0,30189,9555,882.0,10579,1833.0,1089.0,9480.0,9629.0,23.2409,287916.1,,,,,,,,,,,
2022-01-30,830923,200182,24.0915,Russia_Ukraine,51786.0,73790.0,23808,1488,1891.0,22563,181.0,1338.0,1893.0,21444.0,22.1633,269974.6,,,,,,,,,,,
2022-01-31,1173098,257226,21.9271,Russia_Ukraine,93443.0,71029.0,33182,1876,6641.0,24870,1405.0,7007.0,2066.0,15707.0,21.8881,264894.7,,,,,,,,,,,
2022-02-01,1438070,343366,23.8769,Russia_Ukraine,127704.0,102898.0,48614,2398,11525.0,13603,19296.0,2508.0,2974.0,11846.0,21.2259,251386.7,,,,,,,,,,,
2022-02-02,1412186,284702,20.1604,Russia_Ukraine,72987.0,100230.0,56521,6130,4966.0,16156,1716.0,1632.0,5458.0,18906.0,22.1946,264361.3,,,,,,,,,,,
2022-02-03,1410896,253337,17.9558,Russia_Ukraine,64994.0,67128.0,55405,2045,6226.0,19144,368.0,1568.0,5004.0,31455.0,22.7804,267817.6,,,,,,,,,,,
2022-02-04,1261079,232836,18.4632,Russia_Ukraine,51355.0,72727.0,39055,1472,5106.0,36608,1912.0,3603.0,8650.0,12348.0,24.5793,292061.0,,,,,,,,,,,
